distribution,format,bpw,mse,cosine,snr
Attn_QKV,OIL_MIX@3bpw,3.00,2.51163377e-06,0.99687369,22.0320
Attn_QKV,OIL_MIX@4bpw,4.00,5.07031780e-06,0.99365801,18.9812
FFN_Down,OIL1,1.00,6.07972446e-04,0.17234563,0.1310
FFN_Down,OIL2,2.00,7.22474230e-05,0.94058298,9.3816
FFN_Down,OIL4,4.00,6.27238029e-06,0.99499339,19.9955
FFN_Down,OIL8,8.00,2.35599649e-06,0.99813020,24.2480
FFN_Down,OIL16,16.00,1.06846371e-10,0.99999997,67.6822
FFN_Down,OIL32,32.00,0.00000000e+00,1.00000000,999.0000
FFN_Down,OIL1_GRP,1.00,3.85808073e-03,0.77558058,-7.8939
FFN_Down,OIL2_GRP,2.00,1.02796528e-04,0.91604840,7.8500
FFN_Down,OIL4_GRP,4.00,1.08322180e-05,0.99148727,17.6226
FFN_Down,OIL8_GRP,8.00,5.86587737e-06,0.99544392,20.2865
FFN_Down,OIL16_GRP,16.00,5.86587737e-06,0.99544392,20.2865
FFN_Down,SPARK_SPARSE,2.00,3.53133785e-04,0.66063528,2.4904
FFN_Down,SPARK_SPARSE_GRP,2.00,1.59367640e-07,0.99993017,35.9458
FFN_Down,SPARK_Q0,1.50,7.69256185e-05,0.93889303,9.1091
FFN_Down,SPARK_Q0_GRP,1.50,2.97226151e-01,0.90206210,-26.7611
FFN_Down,GGUF_Q4_K_M,4.50,3.79517468e-06,0.99699626,22.1775
FFN_Down,GPTQ_4bit,4.00,2.65502728e-06,0.99788782,23.7291
FFN_Down,OIL_MIX@2bpw,2.00,1.22206142e-07,0.99994582,37.0989
FFN_Down,OIL_MIX@3bpw,3.00,3.92442813e-06,0.99687369,22.0320
FFN_Down,OIL_MIX@4bpw,4.00,7.92237219e-06,0.99365801,18.9812
