dataset,format,bpw,mse,psnr,encode_us,decode_us,encode_std,decode_std
real,Q12,12,1.48464e-05,48.2838,9371.6,2289.5,160.89,39.1473
real,Q_QUAD_MIX@8.5_GRP,8.75,0.000251479,35.995,7899.8,1609.3,182.559,10.8968
real,[ref] GGUF Q8_0,8.5,1.05935e-06,59.7496,203.2,203.2,0,0
real,Q8_GRP,8.5,4.70424e-06,53.2751,9099.5,1843.4,328.127,68.1959
real,Q_QUAD_MIX@8.5,8.5,0.000241261,36.1751,5205.1,1613.4,152.55,124.392
real,[ref] INT8 uniform,8.125,1.33546e-06,58.7437,192.7,192.7,0,0
real,Q8,8,2.03343e-06,56.9177,2625.8,1502.5,40.7971,13.203
real,Q_QUAD_MIX@6.5_GRP,6.75,0.000397948,34.0017,7993.3,1312,278.013,77.04
real,Q6_GRP,6.5625,1.3802e-05,48.6006,3149.6,866.6,36.9339,22.8798
real,[ref] GGUF Q6_K,6.5625,2.44202e-05,46.1225,264.1,264.1,0,0
real,Q_QUAD_MIX@6.5,6.5,0.000374166,34.2694,5091,1326.3,422.465,136.741
real,Q6,6,0.00014257,38.4597,5012.4,1301.7,126.829,42.9003
real,Q_QUAD_MIX@4.5_GRP,4.75,0.0106904,19.7101,3914.3,1171.7,30.0648,126.847
real,Q4_GRP,4.5,0.000243746,36.1306,6843.6,835.9,106.042,42.5945
real,Q_QUAD_MIX@4.5,4.5,0.00279668,25.5336,3829.4,1090.3,63.1253,148.305
real,Q4,4,0.000632361,31.9903,5555.3,728.4,66.8691,14.5924
real,Q_QUAD_MIX@3.5_GRP,3.75,0.0131841,18.7995,2853.5,757.5,110.773,111.891
real,Q_QUAD_MIX@3.5,3.5,0.0115359,19.3795,3002.6,757.6,264.889,134.89
real,Q3_GRP,3.5,0.0601539,12.2074,7823.3,307.8,361.411,19.642
real,Q3,3,0.0021946,26.5864,2522.9,547,50.8921,15.667
real,Q_TWI_MIX@2.5_GRP,2.75,0.0119941,19.2103,1746.9,474.1,22.4105,32.6178
real,Q2_GRP,2.625,0.00322504,24.9146,9434,524.4,185.367,14.3229
real,Q_TWI_MIX@2.5,2.5,0.0051018,22.9228,1426.7,259.2,95.9316,4.3115
real,Q2,2,0.0083724,20.7715,1418.2,378.1,77.2056,4.30879
real,Q_TWI_MIX@1.5_GRP,1.75,0.0149314,18.259,460.9,352.9,15.3327,32.4918
real,[ref] BitNet b1.58,1.58,0.017112,17.667,291.6,291.6,0,0
real,Q_TWI_MIX@1.5,1.5,0.0171054,17.6687,330.8,227.5,14.0379,10.8995
real,Q1_GRP,1,0.021565,16.6625,288.5,214.6,3.42526,1.36312
real,Q1,1,0.021565,16.6625,300,214.7,9.0481,8.63112
real,[ref] Binary 1-bit,1,0.0894106,10.4861,19.5,19.5,0,0
